Customer ID,Contract,Dependents,Device Protection,Internet Service,Monthly Charges,Multiple Lines,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Senior Citizen,Streaming Movies,Streaming TV,Tech Support,Total Charges,Gender,Tenure,Churn_Status
0107-WESLM,Month-to-month,No,No internet service,No,19.85,No,No internet service,No internet service,Yes,No,Electronic check,Yes,No,No internet service,No internet service,No internet service,19.85,Male,1,Yes
0129-KPTWJ,Month-to-month,No,Yes,Fiber optic,94.65,No,No,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,No,6747.35,Male,72,No
0136-IFMYD,Two year,No,Yes,Fiber optic,109.95,Yes,Yes,No,Yes,Yes,Electronic check,Yes,Yes,Yes,Yes,Yes,7634.25,Male,69,No
0137-UDEUO,Month-to-month,No,No internet service,No,19.85,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,63.75,Female,3,Yes
0164-APGRB,Two year,No,Yes,Fiber optic,114.9,Yes,Yes,Yes,Yes,No,Electronic check,Yes,No,Yes,Yes,Yes,8496.7,Female,72,No
0178-CIIKR,Month-to-month,No,No internet service,No,19.95,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,58,Female,3,No
0181-RITDD,Two year,Yes,Yes,Fiber optic,108.15,No,Yes,Yes,No,Yes,Mailed check,Yes,No,Yes,Yes,Yes,6825.65,Male,62,No
0186-CAERR,One year,No,Yes,Fiber optic,116.3,Yes,Yes,Yes,Yes,No,Bank transfer automatic,Yes,No,Yes,Yes,Yes,8309.55,Male,71,No
0188-GWFLE,Month-to-month,No,No internet service,No,20.05,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,33.7,Male,2,No
0201-MIBOL,Two year,No,No,Fiber optic,102.4,Yes,No,Yes,Yes,No,Bank transfer automatic,Yes,Yes,Yes,Yes,No,6471.85,Female,66,No
0201-OAMXR,One year,No,Yes,Fiber optic,115.55,Yes,Yes,Yes,No,No,Credit card automatic,Yes,No,Yes,Yes,Yes,8127.6,Female,70,Yes
0218-QNVAS,One year,Yes,No,Fiber optic,100.55,Yes,Yes,No,No,Yes,Bank transfer automatic,Yes,No,Yes,Yes,No,7113.75,Male,71,No
0244-LGNFY,Two year,Yes,Yes,DSL,92.65,Yes,Yes,Yes,No,Yes,Bank transfer automatic,Yes,No,Yes,Yes,Yes,6733,Female,72,No
0247-SLUJI,Month-to-month,Yes,No internet service,No,19.7,No,No internet service,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,19.7,Male,1,No
0248-IPDFW,Month-to-month,No,No,DSL,50.1,Yes,No,No,Yes,No,Electronic check,Yes,No,No,No,No,50.1,Female,1,No
0254-FNMCI,Two year,No,Yes,Fiber optic,109.9,No,Yes,Yes,Yes,No,Electronic check,Yes,No,Yes,Yes,Yes,7624.2,Female,72,No
0266-CLZKZ,Two year,Yes,Yes,Fiber optic,105.65,Yes,No,No,Yes,Yes,Bank transfer automatic,Yes,No,Yes,Yes,Yes,6717.9,Female,67,No
0266-GMEAO,Two year,Yes,Yes,Fiber optic,114.3,Yes,Yes,Yes,Yes,Yes,Credit card automatic,Yes,No,Yes,Yes,Yes,8058.55,Male,72,No
0268-QKIWO,Month-to-month,No,No internet service,No,19.75,No,No internet service,No internet service,No,No,Electronic check,Yes,No,No internet service,No internet service,No internet service,58.85,Female,3,Yes
0308-GIQJT,One year,No,No,Fiber optic,105.75,Yes,Yes,No,No,No,Bank transfer automatic,Yes,Yes,Yes,Yes,Yes,7382.85,Male,71,No
0322-YINQP,Month-to-month,No,No,DSL,48.55,No,No,Yes,Yes,No,Mailed check,Yes,No,No,No,No,48.55,Male,1,Yes
0324-BRPCJ,Month-to-month,No,No,Fiber optic,100.2,Yes,Yes,No,Yes,Yes,Electronic check,Yes,Yes,Yes,Yes,No,6851.65,Female,68,Yes
0326-VDYXE,One year,No,Yes,Fiber optic,97.65,Yes,No,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,No,6982.5,Female,70,No
0366-NQSHS,Month-to-month,No,No internet service,No,19.35,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,46.35,Male,2,No
0374-AACSZ,Month-to-month,No,No,DSL,50.15,No,No,Yes,No,No,Electronic check,Yes,No,No,No,No,50.15,Female,1,No
0375-HVGXO,Month-to-month,No,No,DSL,34.7,No phone service,No,No,Yes,No,Electronic check,No,No,No,Yes,No,34.7,Female,1,Yes
0378-CJKPV,Two year,No,Yes,Fiber optic,112.1,Yes,Yes,Yes,No,Yes,Credit card automatic,Yes,No,Yes,Yes,Yes,7965.95,Female,72,No
0392-BZIUW,Two year,No,Yes,Fiber optic,105,Yes,No,Yes,Yes,Yes,Credit card automatic,Yes,No,Yes,Yes,No,7589.8,Female,72,No
0396-HUJBP,Month-to-month,No,No internet service,No,19.3,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,44.4,Female,2,No
0401-WDBXM,Two year,Yes,Yes,Fiber optic,105.55,Yes,No,Yes,Yes,Yes,Bank transfer automatic,Yes,No,Yes,Yes,No,7542.25,Male,72,No
0409-WTMPL,One year,No,Yes,Fiber optic,110.65,Yes,Yes,Yes,Yes,Yes,Credit card automatic,Yes,No,Yes,Yes,No,6526.65,Female,58,No
0415-MOSGF,Month-to-month,No,No,DSL,44.4,No,No,No,No,No,Mailed check,Yes,No,No,No,No,44.4,Female,1,Yes
0426-TIRNE,Month-to-month,No,No internet service,No,20.9,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,20.9,Female,1,Yes
0442-ZXKVS,One year,No,Yes,Fiber optic,115.6,Yes,Yes,Yes,Yes,Yes,Bank transfer automatic,Yes,Yes,Yes,Yes,Yes,6431.05,Female,54,No
0463-WZZKO,Month-to-month,No,No internet service,No,20.75,No,No internet service,No internet service,Yes,No,Credit card automatic,Yes,No,No internet service,No internet service,No internet service,67.1,Male,3,No
0488-GSLFR,Month-to-month,No,No,Fiber optic,69.5,No,No,No,Yes,No,Electronic check,Yes,No,No,No,No,69.5,Female,1,Yes
0530-IJVDB,Two year,Yes,Yes,Fiber optic,114.6,Yes,Yes,Yes,Yes,No,Electronic check,Yes,No,Yes,Yes,Yes,7882.5,Male,70,No
0536-ACXIP,Two year,No,Yes,Fiber optic,109.55,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,No,Yes,Yes,No,8165.1,Female,72,No
0565-JUPYD,One year,No,Yes,Fiber optic,104.5,Yes,Yes,Yes,No,No,Credit card automatic,Yes,No,No,Yes,Yes,6590.8,Male,63,No
0612-RTZZA,Month-to-month,No,No,DSL,25.25,No phone service,No,No,No,No,Electronic check,No,Yes,No,No,No,25.25,Female,1,Yes
0616-ATFGB,Month-to-month,No,No,DSL,25.05,No phone service,No,No,No,Yes,Electronic check,No,Yes,No,No,No,25.05,Male,1,Yes
0619-OLYUR,Two year,No,Yes,Fiber optic,111.9,Yes,No,Yes,Yes,Yes,Credit card automatic,Yes,No,Yes,Yes,Yes,8071.05,Male,72,No
0623-GDISB,Month-to-month,No,No,DSL,48.45,No,No,Yes,Yes,No,Bank transfer automatic,Yes,No,No,No,No,48.45,Female,1,No
0639-TSIQW,Month-to-month,No,Yes,Fiber optic,102.95,Yes,Yes,Yes,Yes,No,Credit card automatic,Yes,No,No,Yes,No,6886.25,Female,67,Yes
0661-XEYAN,Month-to-month,No,No,DSL,25.8,No phone service,No,No,Yes,No,Mailed check,No,Yes,No,No,No,25.8,Female,1,Yes
0665-XHDJU,Two year,No,No,Fiber optic,99.4,Yes,Yes,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,No,7285.7,Male,72,No
0670-ANMUU,One year,No,No,Fiber optic,97.65,Yes,No,Yes,No,No,Credit card automatic,Yes,No,Yes,No,Yes,6687.85,Male,71,No
0670-KDOMA,Month-to-month,No,No internet service,No,20.25,No,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,20.25,Female,1,No
0673-IGUQO,Month-to-month,No,No internet service,No,20.45,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,20.45,Male,1,No
0674-EYYZV,Month-to-month,No,No,DSL,54.65,No,No,No,Yes,No,Electronic check,Yes,No,No,Yes,No,54.65,Female,1,No
0675-NCDYU,Two year,Yes,Yes,Fiber optic,116.4,Yes,Yes,Yes,Yes,Yes,Credit card automatic,Yes,No,Yes,Yes,Yes,8543.25,Female,72,No
0679-IDSTG,Month-to-month,Yes,No,Fiber optic,69.25,No,No,No,Yes,Yes,Electronic check,Yes,Yes,No,No,No,69.25,Female,1,Yes
0690-SRQID,Month-to-month,No,No internet service,No,19.65,No,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,67.55,Male,4,No
0727-BNRLG,Two year,No,Yes,Fiber optic,97.65,Yes,Yes,No,Yes,No,Credit card automatic,Yes,No,No,Yes,Yes,6743.55,Male,69,No
0742-LAFQK,Two year,No,Yes,Fiber optic,99.15,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,No,Yes,No,No,7422.1,Male,72,No
0746-JTRFU,Month-to-month,No,No,DSL,25.05,No phone service,No,No,Yes,No,Electronic check,No,No,No,No,No,56.35,Male,2,Yes
0748-RDGGM,One year,No,Yes,Fiber optic,109.5,No,Yes,Yes,Yes,Yes,Bank transfer automatic,Yes,No,Yes,Yes,Yes,7534.65,Male,70,Yes
0761-AETCS,Month-to-month,No,No internet service,No,19.3,No,No internet service,No internet service,No,No,Electronic check,Yes,No,No internet service,No internet service,No internet service,19.3,Female,1,Yes
0786-IVLAW,One year,No,Yes,Fiber optic,108.1,Yes,Yes,No,No,No,Bank transfer automatic,Yes,Yes,Yes,Yes,No,7238.6,Female,66,No
0795-GMVQO,One year,No,Yes,Fiber optic,109.9,Yes,Yes,Yes,No,Yes,Credit card automatic,Yes,No,Yes,Yes,No,7332.4,Male,67,No
0795-LAFGP,Two year,Yes,Yes,DSL,90.4,Yes,Yes,Yes,No,Yes,Electronic check,Yes,No,Yes,Yes,Yes,6668.05,Male,71,No
0816-TSPHQ,Month-to-month,No,No internet service,No,20.75,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,44.2,Male,2,No
0822-GAVAP,Month-to-month,No,No,DSL,34.7,No phone service,No,No,Yes,No,Electronic check,No,No,Yes,No,No,62.25,Female,2,Yes
0835-JKADZ,Two year,No,Yes,Fiber optic,111.25,Yes,Yes,No,Yes,No,Electronic check,Yes,No,Yes,Yes,Yes,7984.15,Female,71,No
0841-NULXI,Month-to-month,No,No,DSL,35.55,No phone service,No,No,Yes,No,Electronic check,No,No,Yes,No,No,35.55,Male,1,Yes
0853-TWRVK,Two year,No,Yes,Fiber optic,105.6,Yes,Yes,Yes,No,Yes,Bank transfer automatic,Yes,No,Yes,No,Yes,7581.5,Male,72,No
0862-PRCBS,Two year,Yes,No,Fiber optic,103.75,Yes,Yes,No,Yes,Yes,Credit card automatic,Yes,No,Yes,Yes,Yes,7039.45,Female,68,No
0864-FVJNJ,One year,Yes,Yes,Fiber optic,113.35,Yes,Yes,Yes,No,Yes,Electronic check,Yes,No,Yes,Yes,Yes,7222.75,Female,64,No
0868-VJRDR,Two year,No,No,Fiber optic,104.05,No,Yes,Yes,Yes,Yes,Credit card automatic,Yes,No,Yes,Yes,Yes,6605.55,Male,64,No
0871-OPBXW,Month-to-month,No,No internet service,No,20.05,No,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,39.25,Female,2,No
0883-EIBTI,Month-to-month,No,No internet service,No,19.5,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,31.55,Female,2,Yes
0887-HJGAR,Month-to-month,No,No,DSL,45.7,No,No,No,Yes,No,Mailed check,Yes,No,No,No,No,45.7,Male,1,Yes
0906-QVPMS,Two year,No,Yes,Fiber optic,115.15,Yes,Yes,Yes,No,Yes,Bank transfer automatic,Yes,No,Yes,Yes,Yes,8349.45,Male,72,No
0907-HQNTS,Two year,No,Yes,Fiber optic,113,Yes,Yes,Yes,Yes,Yes,Credit card automatic,Yes,Yes,Yes,Yes,Yes,7987.6,Female,70,No
0917-EZOLA,Two year,No,Yes,Fiber optic,104.15,Yes,Yes,No,Yes,Yes,Bank transfer automatic,Yes,Yes,Yes,Yes,No,7689.95,Male,72,Yes
0927-CNGRH,Month-to-month,Yes,No internet service,No,19.55,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,19.55,Male,1,No
0960-HUWBM,Two year,Yes,Yes,Fiber optic,104.1,Yes,No,No,Yes,Yes,Bank transfer automatic,Yes,No,Yes,Yes,Yes,6700.05,Male,65,No
0970-QXPXW,Month-to-month,No,No internet service,No,19.65,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,19.65,Female,1,No
0979-PHULV,Month-to-month,Yes,Yes,Fiber optic,99.45,Yes,No,No,Yes,Yes,Credit card automatic,Yes,No,Yes,Yes,No,7007.6,Male,69,Yes
1000-AJSLD,Month-to-month,No,No internet service,No,20.1,No,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,20.1,Male,1,Yes
1013-QCWAM,Month-to-month,No,No,Fiber optic,100.8,Yes,Yes,No,Yes,Yes,Electronic check,Yes,Yes,Yes,Yes,No,6690.75,Female,66,No
1015-OWJKI,Month-to-month,No,No internet service,No,19.05,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,19.05,Male,1,No
1017-FBQMM,One year,Yes,No,Fiber optic,106.05,Yes,Yes,No,Yes,Yes,Credit card automatic,Yes,No,Yes,Yes,Yes,6703.5,Female,62,No
1024-GUALD,Month-to-month,No,No,DSL,24.8,No phone service,No,No,Yes,Yes,Electronic check,No,No,No,No,No,24.8,Female,1,Yes
1029-QFBEN,Month-to-month,No,No internet service,No,19.55,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,19.55,Male,1,Yes
1035-IPQPU,Month-to-month,No,Yes,Fiber optic,103.5,Yes,Yes,No,Yes,Yes,Electronic check,Yes,Yes,Yes,Yes,No,6479.4,Female,63,No
1043-UXOVO,Two year,No,Yes,Fiber optic,113.15,Yes,Yes,Yes,Yes,No,Credit card automatic,Yes,No,Yes,Yes,Yes,7993.3,Female,71,No
1051-GEJLJ,Month-to-month,No,No internet service,No,19.5,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,27.55,Female,2,No
1053-MXTTK,Two year,Yes,Yes,Fiber optic,108.65,No,Yes,Yes,Yes,Yes,Bank transfer automatic,Yes,No,Yes,Yes,Yes,7726.35,Female,72,No
1060-ENTOF,One year,No,Yes,Fiber optic,105.4,Yes,Yes,Yes,Yes,Yes,Credit card automatic,Yes,Yes,Yes,No,Yes,7035.6,Female,67,No
1063-DHQJF,Two year,Yes,No,Fiber optic,92.15,No,Yes,No,Yes,Yes,Mailed check,Yes,No,No,Yes,Yes,6480.9,Male,69,No
1064-FBXNK,One year,Yes,No internet service,No,19.85,No,No internet service,No internet service,No,Yes,Credit card automatic,Yes,No,No internet service,No internet service,No internet service,19.85,Male,1,No
1066-JKSGK,Month-to-month,No,No internet service,No,20.15,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,20.15,Male,1,Yes
1086-LXKFY,Month-to-month,Yes,No,Fiber optic,69.1,No,No,No,Yes,Yes,Mailed check,Yes,No,No,No,No,69.1,Female,1,Yes
1087-UDSIH,Month-to-month,No,No internet service,No,19.6,No,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,59.75,Female,3,Yes
1090-ESELR,Two year,Yes,No,Fiber optic,105.5,No,Yes,Yes,No,Yes,Bank transfer automatic,Yes,No,Yes,Yes,Yes,7611.55,Male,72,No
1090-PYKCI,One year,Yes,Yes,Fiber optic,105.1,Yes,Yes,Yes,Yes,Yes,Credit card automatic,Yes,No,No,Yes,Yes,7234.8,Female,69,No
1098-TDVUQ,Month-to-month,No,No internet service,No,19.25,No,No internet service,No internet service,Yes,No,Bank transfer automatic,Yes,No,No internet service,No internet service,No internet service,19.25,Female,1,No
1099-GODLO,Two year,Yes,No internet service,No,20.35,No,No internet service,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,20.35,Female,1,No
1110-KYLGQ,Month-to-month,No,Yes,Fiber optic,108.25,Yes,Yes,Yes,No,No,Credit card automatic,Yes,No,Yes,Yes,No,6780.1,Female,63,No
1135-HIORI,One year,Yes,Yes,Fiber optic,111.45,Yes,Yes,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,Yes,7266.95,Female,64,No
1135-LMECX,Month-to-month,No,No internet service,No,19.85,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,19.85,Female,1,No
1150-WFARN,Two year,Yes,Yes,Fiber optic,108.75,Yes,No,Yes,Yes,Yes,Credit card automatic,Yes,No,Yes,Yes,Yes,7156.2,Female,67,Yes
1156-ZFYDO,Month-to-month,No,No internet service,No,19.75,No,No internet service,No internet service,No,No,Electronic check,Yes,No,No internet service,No internet service,No internet service,19.75,Female,1,No
1162-ECVII,Two year,No,Yes,Fiber optic,109.75,Yes,Yes,No,Yes,Yes,Bank transfer automatic,Yes,Yes,Yes,Yes,Yes,7932.5,Male,72,No
1163-VIPRI,Two year,Yes,Yes,Fiber optic,109.3,Yes,No,Yes,No,Yes,Electronic check,Yes,No,Yes,Yes,Yes,7337.55,Female,65,No
1179-INLAT,One year,No,No internet service,No,19.45,No,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,69.25,Male,3,No
1194-SPVSP,Month-to-month,No,No internet service,No,19.65,No,No internet service,No internet service,No,No,Bank transfer automatic,Yes,No,No internet service,No internet service,No internet service,19.65,Male,1,No
1227-UDMZR,Two year,No,Yes,DSL,91.15,Yes,Yes,Yes,Yes,Yes,Bank transfer automatic,Yes,No,Yes,Yes,Yes,6637.9,Female,72,No
1229-RCALF,One year,No,Yes,Fiber optic,115,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,No,Yes,Yes,Yes,7396.15,Female,64,No
1240-KNSEZ,Month-to-month,No,No internet service,No,20.1,No,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,20.1,Male,1,Yes
1265-XTECC,One year,No,No,Fiber optic,96.55,Yes,Yes,Yes,Yes,Yes,Credit card automatic,Yes,Yes,Yes,No,No,6581.9,Female,68,Yes
1291-CUOCY,Two year,No,Yes,Fiber optic,110.6,Yes,Yes,No,Yes,Yes,Credit card automatic,Yes,No,Yes,Yes,Yes,7962.2,Male,72,No
1297-VQDRP,One year,Yes,Yes,Fiber optic,107.15,Yes,No,No,Yes,Yes,Credit card automatic,Yes,Yes,Yes,Yes,Yes,7379.8,Male,68,No
1304-SEGFY,Two year,No,Yes,Fiber optic,97.85,Yes,No,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,No,6841.3,Female,72,No
1320-GVNHT,Two year,Yes,Yes,Fiber optic,108.4,Yes,Yes,Yes,Yes,Yes,Credit card automatic,Yes,No,Yes,Yes,No,7767.25,Male,72,No
1325-USMEC,Two year,No,Yes,Fiber optic,99.35,Yes,Yes,Yes,Yes,Yes,Credit card automatic,Yes,No,No,Yes,No,6944.5,Male,70,No
1334-FJSVR,Month-to-month,No,No,DSL,24.25,No phone service,No,No,Yes,No,Electronic check,No,No,No,No,No,24.25,Male,1,Yes
1335-HQMKX,One year,No,Yes,Fiber optic,101.35,Yes,Yes,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,No,7323.15,Female,72,No
1343-EHPYB,Month-to-month,No,Yes,Fiber optic,103.4,Yes,Yes,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,No,6603,Male,63,Yes
1347-KTTTA,One year,No,Yes,Fiber optic,102.45,No,Yes,No,Yes,Yes,Credit card automatic,Yes,No,Yes,Yes,Yes,6654.1,Male,64,No
1349-WXNGG,Month-to-month,No,No internet service,No,20.05,No,No internet service,No internet service,No,No,Bank transfer automatic,Yes,No,No internet service,No internet service,No internet service,20.05,Male,1,Yes
1352-HNSAW,Two year,Yes,Yes,Fiber optic,115.6,Yes,Yes,Yes,Yes,Yes,Bank transfer automatic,Yes,No,Yes,Yes,Yes,8220.4,Female,72,No
1354-YZFNB,Two year,Yes,No internet service,No,19.55,No,No internet service,No internet service,No,Yes,Credit card automatic,Yes,No,No internet service,No internet service,No internet service,68.8,Male,4,No
1360-XFJMR,One year,No,Yes,Fiber optic,109.7,Yes,Yes,No,Yes,Yes,Credit card automatic,Yes,No,Yes,Yes,Yes,7344.45,Female,67,No
1371-DWPAZ,Two year,Yes,Yes,DSL,56.05,No phone service,Yes,Yes,No,Yes,Credit card automatic,No,No,No,Yes,Yes,,Female,0,No
1406-PUQVY,Month-to-month,Yes,No,DSL,49.9,No,Yes,No,Yes,No,Electronic check,Yes,No,No,No,No,49.9,Male,1,No
1407-DIGZV,Two year,Yes,No internet service,No,19.1,No,No internet service,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,52,Female,3,No
1423-BMPBQ,Month-to-month,Yes,No internet service,No,19,No,No internet service,No internet service,Yes,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,19,Female,1,No
1442-OKRJE,One year,Yes,Yes,Fiber optic,103.15,No,Yes,Yes,Yes,Yes,Bank transfer automatic,Yes,No,Yes,Yes,No,7031.3,Male,66,No
1444-VVSGW,One year,No,Yes,Fiber optic,115.65,Yes,Yes,Yes,No,Yes,Credit card automatic,Yes,No,Yes,Yes,Yes,7968.85,Male,70,Yes
1447-GIQMR,Month-to-month,No,No,Fiber optic,69.15,No,No,No,Yes,Yes,Electronic check,Yes,No,No,No,No,69.15,Male,1,Yes
1449-XQEMT,Month-to-month,No,No internet service,No,19.8,No,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,58.15,Male,3,Yes
1452-UZOSF,Two year,Yes,Yes,Fiber optic,106.1,Yes,Yes,Yes,Yes,Yes,Credit card automatic,Yes,No,No,Yes,Yes,7548.6,Male,72,No
1453-RZFON,Month-to-month,Yes,No,DSL,49.9,No,No,Yes,No,No,Mailed check,Yes,No,No,No,No,49.9,Female,1,No
1465-WCZVT,Month-to-month,Yes,No internet service,No,19.65,No,No internet service,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,60.65,Female,3,No
1469-LBJQJ,Month-to-month,No,Yes,Fiber optic,105.2,Yes,Yes,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,No,6936.85,Female,66,No
1471-GIQKQ,Month-to-month,No,No,DSL,49.95,No,Yes,No,No,No,Electronic check,Yes,No,No,No,No,49.95,Female,1,No
1478-VPOAD,Month-to-month,No,No,DSL,43.8,No,No,No,No,No,Electronic check,Yes,No,No,No,No,43.8,Female,1,No
1480-BKXGA,Two year,No,Yes,Fiber optic,116.05,Yes,Yes,Yes,Yes,Yes,Bank transfer automatic,Yes,Yes,Yes,Yes,Yes,8404.9,Male,72,No
1488-PBLJN,Two year,Yes,Yes,Fiber optic,116.85,Yes,Yes,Yes,Yes,Yes,Bank transfer automatic,Yes,No,Yes,Yes,Yes,8477.7,Female,72,No
1493-AMTIE,Month-to-month,No,No internet service,No,20.2,No,No internet service,No internet service,Yes,No,Bank transfer automatic,Yes,No,No internet service,No internet service,No internet service,20.2,Male,1,Yes
1496-GGSUK,Month-to-month,No,No,DSL,25.7,No phone service,No,No,Yes,No,Mailed check,No,Yes,No,No,No,25.7,Female,1,Yes
1536-HBSWP,Month-to-month,No,No,DSL,49.9,No,No,No,Yes,No,Electronic check,Yes,No,No,No,Yes,49.9,Female,1,No
1541-ETJZO,Month-to-month,No,Yes,DSL,62.05,Yes,No,No,No,No,Mailed check,Yes,No,No,No,Yes,62.05,Male,1,Yes
1545-JFUML,Two year,No,Yes,Fiber optic,99,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,No,No,Yes,No,6994.6,Male,71,No
1555-DJEQW,Two year,Yes,Yes,Fiber optic,114.2,Yes,Yes,Yes,Yes,Yes,Bank transfer automatic,Yes,No,Yes,Yes,Yes,7723.9,Female,70,Yes
1576-PFZIW,Two year,No,Yes,Fiber optic,105.35,No,Yes,Yes,No,Yes,Credit card automatic,Yes,Yes,Yes,Yes,No,7511.9,Male,70,No
1582-RAFML,Month-to-month,No,No,DSL,60.1,Yes,Yes,No,No,No,Mailed check,Yes,No,No,No,Yes,60.1,Male,1,Yes
1587-FKLZB,Month-to-month,Yes,Yes,Fiber optic,99.5,Yes,No,No,Yes,Yes,Credit card automatic,Yes,Yes,Yes,Yes,No,6822.15,Male,66,Yes
1612-EOHDH,Month-to-month,No,No,DSL,45.15,No,No,No,No,No,Electronic check,Yes,No,No,No,No,45.15,Female,1,Yes
1622-HSHSF,Month-to-month,No,No internet service,No,19.55,No,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,19.55,Female,1,No
1642-HMARX,Two year,No,Yes,DSL,91.7,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,No,Yes,Yes,Yes,6424.7,Female,68,No
1656-DRSMG,Month-to-month,No,Yes,Fiber optic,109.85,Yes,Yes,No,Yes,No,Credit card automatic,Yes,No,Yes,Yes,Yes,7002.95,Female,63,No
